                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5546,                 3.0606,                 1.4506,                0.42426,                0.72316,                0.46876,                0.31673,                 1.2429,                 1.6946,                 1.2338,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.4075,                 2.0107,                 1.3648,                0.40652,                0.66393,                0.42463,                0.27891,                 1.1943,                 1.5382,                 1.2185,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.4159,                 1.8393,                 1.3487,                0.41657,                0.78397,                0.48034,                0.32747,                 1.1682,                 1.4289,                 1.1659,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.3959,                 1.7441,                 1.3642,                0.30746,                0.16369,                0.11264,                0.06598,                  2.565,                 4.4032,                   2.82,               0.001601,               0.001601,               0.001601
                      5,                 1.3825,                  1.713,                 1.3478,                 0.4697,                0.73194,                0.47421,                0.31314,                 1.2357,                 1.4495,                 1.2062,               0.001579,               0.001579,               0.001579
                      6,                 1.3223,                 1.6606,                 1.3176,                0.44034,                0.83048,                0.49966,                0.33476,                 1.1532,                 1.2984,                 1.1482,               0.001557,               0.001557,               0.001557
                      7,                 1.3488,                 1.6836,                 1.3147,                0.43614,                0.81129,                  0.503,                0.34871,                 1.1509,                 1.2922,                 1.1271,               0.001535,               0.001535,               0.001535
                      8,                 1.3024,                 1.6175,                 1.2896,                0.45219,                0.88775,                0.50275,                0.35261,                 1.0435,                 1.2016,                 1.0842,               0.001513,               0.001513,               0.001513
                      9,                 1.2831,                 1.5912,                 1.2903,                0.43966,                 0.8094,                0.48635,                0.33736,                 1.0707,                 1.2671,                 1.1231,               0.001491,               0.001491,               0.001491
                     10,                 1.2743,                 1.5817,                 1.2813,                0.45359,                0.72507,                0.47642,                0.31692,                  1.145,                 1.3305,                 1.1801,               0.001469,               0.001469,               0.001469
                     11,                 1.2237,                 1.4884,                 1.2551,                 0.4477,                 0.8705,                0.50011,                0.36226,                 1.0507,                 1.1507,                 1.0926,               0.001447,               0.001447,               0.001447
                     12,                 1.2575,                  1.524,                 1.2782,                 0.4412,                0.85492,                0.52668,                0.37289,                 1.0547,                 1.1946,                 1.0979,               0.001425,               0.001425,               0.001425
                     13,                 1.2095,                 1.5051,                 1.2411,                0.45466,                0.76613,                0.50497,                0.35559,                  1.087,                 1.2459,                 1.1229,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.2118,                 1.4772,                 1.2278,                0.46351,                 0.8088,                 0.5179,                0.36149,                 1.1039,                  1.191,                 1.1504,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.1947,                 1.5006,                 1.2348,                0.44418,                0.86203,                0.51951,                0.35704,                 1.0824,                 1.2155,                 1.1333,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.1664,                 1.4455,                 1.2208,                0.45731,                 0.8705,                0.51926,                0.36593,                  1.008,                 1.1417,                  1.087,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.1781,                 1.4395,                 1.2269,                0.47512,                0.84448,                0.52619,                0.38024,                  1.054,                 1.1942,                 1.1209,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.2004,                 1.5058,                 1.2504,                0.41926,                0.87107,                0.54229,                0.39005,                 1.0446,                 1.2008,                 1.1245,              0.0012929,              0.0012929,              0.0012929
                     19,                  1.141,                 1.4477,                 1.2006,                0.44498,                0.94728,                0.51273,                0.35988,                 1.0147,                  1.112,                 1.0815,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.1536,                 1.4359,                 1.2181,                0.45347,                0.91317,                0.52662,                0.38637,                 1.0166,                 1.0995,                 1.0928,              0.0012489,              0.0012489,              0.0012489
                     21,                  1.106,                 1.3507,                 1.1795,                0.46181,                0.87021,                 0.5308,                0.36477,                 1.1756,                 1.1561,                 1.1839,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.1557,                 1.4239,                 1.2127,                0.45697,                 0.8366,                0.52958,                0.37311,                 1.0606,                 1.1208,                 1.1308,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.1367,                 1.4048,                 1.2241,                0.44955,                0.88772,                0.51433,                0.35861,                 1.0332,                 1.1303,                  1.127,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.0896,                 1.3654,                 1.1941,                 0.4541,                0.88686,                0.51567,                0.36475,                 1.0092,                 1.1196,                 1.0929,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.1087,                 1.3897,                  1.202,                0.45292,                0.88686,                0.52865,                0.38347,                 1.0115,                 1.1077,                 1.0916,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.1142,                 1.3605,                 1.1805,                0.45697,                  0.898,                0.53278,                0.38533,                 1.0095,                 1.0849,                 1.0971,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.1025,                  1.373,                 1.1971,                0.44693,                0.88805,                0.55586,                0.40138,                0.96787,                 1.1128,                 1.0827,              0.0010949,              0.0010949,              0.0010949
                     28,                 1.0774,                  1.341,                 1.1644,                0.46396,                 0.8801,                0.51786,                0.37501,                 1.0017,                 1.1265,                 1.0918,              0.0010729,              0.0010729,              0.0010729
                     29,                 1.0641,                 1.3673,                 1.1694,                0.44373,                0.88745,                0.50265,                0.36499,                0.98672,                 1.0993,                 1.1042,              0.0010509,              0.0010509,              0.0010509
                     30,                 1.0999,                 1.3499,                 1.1882,                0.44846,                0.91624,                0.55901,                0.39522,                0.98648,                 1.0966,                 1.0869,              0.0010289,              0.0010289,              0.0010289
                     31,                 1.0532,                 1.3242,                  1.149,                0.47444,                0.88715,                0.52523,                0.38217,                0.98053,                 1.0828,                 1.0898,              0.0010069,              0.0010069,              0.0010069
                     32,                 1.0848,                 1.3264,                 1.1907,                0.45147,                0.89271,                0.52507,                0.38365,                0.99966,                 1.0894,                 1.0969,             0.00098486,             0.00098486,             0.00098486
                     33,                 1.0483,                  1.317,                 1.1628,                0.46923,                0.92165,                0.53635,                0.38286,                 1.0194,                 1.0621,                 1.0954,             0.00096286,             0.00096286,             0.00096286
                     34,                 1.0273,                 1.3254,                 1.1447,                0.47407,                0.84478,                0.51609,                0.36487,                 0.9867,                 1.0943,                  1.084,             0.00094085,             0.00094085,             0.00094085
                     35,                 1.0327,                 1.3357,                 1.1561,                0.46262,                0.89622,                0.51203,                0.36201,                 1.0142,                 1.0685,                 1.1023,             0.00091885,             0.00091885,             0.00091885
                     36,                 1.0207,                 1.3094,                 1.1492,                0.47366,                0.87898,                0.51536,                0.36338,                 0.9568,                 1.0464,                 1.0755,             0.00089685,             0.00089685,             0.00089685
                     37,                0.98554,                 1.2744,                 1.1269,                0.45728,                0.92194,                0.49867,                 0.3654,                0.95504,                  1.047,                 1.0833,             0.00087484,             0.00087484,             0.00087484
                     38,                 1.0365,                 1.2859,                 1.1492,                0.45314,                0.90686,                0.52114,                0.37113,                0.98595,                 1.0753,                 1.0956,             0.00085284,             0.00085284,             0.00085284
                     39,                 1.0027,                 1.2932,                 1.1491,                0.46161,                0.87009,                0.57718,                0.41057,                  1.037,                 1.0663,                 1.1116,             0.00083083,             0.00083083,             0.00083083
                     40,                  1.011,                 1.2542,                 1.1416,                0.46321,                0.88627,                0.56302,                0.40909,                 0.9927,                 1.0652,                 1.1028,             0.00080883,             0.00080883,             0.00080883
                     41,                 1.0073,                  1.274,                  1.147,                0.45985,                  0.895,                0.56105,                0.42062,                 0.9443,                 1.0608,                 1.0806,             0.00078682,             0.00078682,             0.00078682
                     42,                 1.0247,                 1.2548,                 1.1442,                 0.4763,                0.89622,                0.56869,                0.39496,                0.93908,                 1.0508,                 1.0849,             0.00076482,             0.00076482,             0.00076482
                     43,                 1.0043,                 1.2692,                 1.1311,                0.44768,                0.89682,                  0.592,                0.40715,                 1.0317,                 1.0658,                 1.1128,             0.00074282,             0.00074282,             0.00074282
                     44,                0.97697,                 1.2159,                 1.1152,                0.47756,                0.92224,                0.58302,                 0.4084,                 1.0133,                 1.0909,                 1.1123,             0.00072081,             0.00072081,             0.00072081
                     45,                0.98484,                 1.2357,                 1.1367,                0.51769,                 0.7601,                0.57623,                0.41044,                 1.0299,                 1.0731,                 1.1221,             0.00069881,             0.00069881,             0.00069881
                     46,                 1.0128,                 1.2749,                 1.1566,                0.48486,                0.87838,                0.57811,                0.41233,                0.99196,                  1.033,                 1.0988,              0.0006768,              0.0006768,              0.0006768
                     47,                0.98063,                 1.2588,                 1.1306,                0.52278,                0.80153,                0.60166,                0.43958,                0.93386,                 1.0366,                 1.0596,              0.0006548,              0.0006548,              0.0006548
                     48,                0.97023,                 1.2357,                 1.1213,                0.48061,                0.86292,                0.61949,                0.42759,                0.96688,                 1.0371,                 1.0741,             0.00063279,             0.00063279,             0.00063279
                     49,                0.96489,                 1.2162,                 1.1042,                0.50491,                0.79453,                0.59586,                0.44366,                0.92201,                 1.0129,                 1.0535,             0.00061079,             0.00061079,             0.00061079
                     50,                0.95242,                  1.196,                 1.1198,                0.50468,                0.83482,                0.57427,                0.41466,                0.97815,                 1.0282,                 1.0897,             0.00058878,             0.00058878,             0.00058878
                     51,                0.92875,                 1.1659,                 1.0953,                 0.5243,                0.81019,                0.61797,                0.44244,                0.94682,                 1.0076,                 1.0635,             0.00056678,             0.00056678,             0.00056678
                     52,                0.95605,                 1.1885,                 1.1179,                0.48025,                0.94856,                0.62249,                0.45472,                0.93526,                 1.0289,                 1.0633,             0.00054478,             0.00054478,             0.00054478
                     53,                0.92346,                 1.1725,                 1.0921,                0.47856,                 0.8705,                0.62109,                0.46508,                0.92354,                 1.0402,                 1.0808,             0.00052277,             0.00052277,             0.00052277
                     54,                0.93394,                 1.1858,                 1.1082,                0.43787,                0.92165,                0.57981,                0.42783,                0.92165,                 1.0491,                 1.0583,             0.00050077,             0.00050077,             0.00050077
                     55,                0.91148,                 1.1349,                 1.0874,                0.52603,                 0.7749,                0.58138,                0.43037,                 0.9419,                 1.0102,                 1.0775,             0.00047876,             0.00047876,             0.00047876
                     56,                0.91748,                 1.1446,                  1.107,                0.51693,                0.81088,                0.60823,                0.44007,                0.98418,                 1.0035,                 1.0913,             0.00045676,             0.00045676,             0.00045676
                     57,                0.92863,                 1.1507,                 1.0955,                0.50437,                0.82216,                  0.641,                0.45482,                0.94382,                 1.0479,                 1.0664,             0.00043475,             0.00043475,             0.00043475
                     58,                0.91276,                 1.1408,                 1.0962,                0.54862,                0.81881,                0.66167,                 0.4778,                0.93574,                0.99004,                 1.0607,             0.00041275,             0.00041275,             0.00041275
                     59,                0.90316,                 1.0966,                 1.0977,                0.52425,                0.78398,                  0.647,                0.46121,                0.99652,                 1.0709,                 1.1181,             0.00039074,             0.00039074,             0.00039074
                     60,                0.90363,                 1.1338,                 1.1012,                0.53549,                0.79364,                0.65413,                0.47218,                0.96287,                 1.0242,                 1.0769,             0.00036874,             0.00036874,             0.00036874
                     61,                0.89645,                 1.1182,                 1.1043,                0.59352,                0.72725,                0.68925,                0.49764,                  0.942,                0.99263,                 1.0591,             0.00034674,             0.00034674,             0.00034674
                     62,                0.88422,                 1.0881,                 1.0852,                0.50613,                0.84589,                0.67005,                0.49592,                0.96305,                 1.0049,                 1.0743,             0.00032473,             0.00032473,             0.00032473
                     63,                  0.897,                 1.0884,                 1.0915,                0.62047,                0.69923,                0.67031,                0.48117,                0.99468,                 1.0262,                 1.1114,             0.00030273,             0.00030273,             0.00030273
                     64,                0.90155,                 1.0535,                 1.0801,                0.55502,                0.80241,                0.71752,                 0.5238,                0.95291,                 1.0068,                 1.0843,             0.00028072,             0.00028072,             0.00028072
                     65,                0.85047,                 1.0398,                 1.0621,                0.57277,                0.72465,                0.67115,                0.48739,                0.95666,                 1.0036,                 1.0694,             0.00025872,             0.00025872,             0.00025872
                     66,                0.79795,                0.99987,                 1.0293,                0.56153,                0.79185,                0.68774,                0.49795,                0.96418,                 0.9964,                 1.0839,             0.00023671,             0.00023671,             0.00023671
