                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5366,                 4.1102,                 1.3749,                0.22149,                0.54371,                0.20478,                0.13754,                 1.1747,                  2.491,                 1.1558,             0.00054698,             0.00054698,             0.00054698
                      2,                 1.3227,                 2.0708,                 1.2519,                0.37572,                0.22391,                0.20606,                0.12258,                 1.5419,                 2.4708,                 1.4463,              0.0010881,              0.0010881,              0.0010881
                      3,                 1.3247,                 1.8939,                 1.2469,                0.39441,                0.53535,                0.36572,                0.22903,                 1.5193,                 2.0786,                 1.3773,              0.0016145,              0.0016145,              0.0016145
                      4,                 1.2746,                  1.799,                  1.205,                0.40619,                0.61448,                0.42123,                0.24863,                  1.337,                 1.8017,                  1.405,               0.001601,               0.001601,               0.001601
                      5,                 1.2966,                 1.6811,                 1.2375,                0.41814,                0.75504,                0.48417,                0.31442,                 1.1993,                 1.5859,                   1.22,               0.001579,               0.001579,               0.001579
                      6,                 1.2861,                 1.6064,                 1.2589,                0.46041,                0.79364,                0.49215,                0.32258,                  1.181,                  1.337,                 1.1879,               0.001557,               0.001557,               0.001557
                      7,                 1.2206,                 1.4785,                 1.1876,                0.44571,                0.74888,                0.49241,                0.35171,                 1.0917,                 1.3332,                 1.1338,               0.001535,               0.001535,               0.001535
                      8,                 1.1446,                 1.3965,                 1.1487,                 0.4631,                0.83538,                0.50682,                0.33889,                 1.2124,                 1.3135,                 1.2356,               0.001513,               0.001513,               0.001513
                      9,                 1.1474,                 1.3796,                 1.1478,                0.49741,                0.77698,                0.52163,                0.36924,                 1.0977,                 1.2768,                  1.169,               0.001491,               0.001491,               0.001491
                     10,                  1.166,                 1.3615,                 1.1451,                0.47941,                0.78138,                0.53324,                0.36414,                 1.2223,                  1.251,                 1.1924,               0.001469,               0.001469,               0.001469
                     11,                 1.0938,                 1.3363,                 1.0945,                0.42867,                0.79245,                0.49055,                0.35297,                  1.035,                 1.2395,                 1.0926,               0.001447,               0.001447,               0.001447
                     12,                 1.1266,                 1.2956,                 1.1247,                0.45149,                0.86961,                0.48603,                0.32867,                 1.0458,                 1.2262,                 1.1041,               0.001425,               0.001425,               0.001425
                     13,                 1.1165,                 1.3485,                 1.1079,                0.43281,                0.70484,                0.46426,                0.30448,                 1.2162,                 1.3417,                 1.2193,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1005,                 1.3409,                 1.1087,                0.43626,                0.86084,                 0.4816,                0.33012,                 1.0592,                 1.2426,                 1.0887,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.1491,                 1.3158,                 1.1424,                0.46837,                0.86173,                0.53316,                0.38137,                 1.0252,                 1.1965,                 1.1148,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0526,                 1.2669,                  1.077,                0.44403,                0.86378,                0.54186,                0.38203,                 1.1393,                 1.1835,                 1.1476,              0.0013369,              0.0013369,              0.0013369
                     17,                  1.053,                 1.2232,                 1.0768,                0.45616,                0.87927,                0.53778,                 0.3853,                 1.0693,                 1.1403,                 1.1114,              0.0013149,              0.0013149,              0.0013149
