                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7272,                  2.907,                 1.4677,                0.45759,                 0.6185,                0.42652,                0.27138,                 1.2307,                 1.7712,                 1.1967,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.5586,                 2.0703,                 1.3801,                0.43625,                0.57003,                0.43933,                 0.2869,                 1.3133,                 1.7175,                 1.2193,              0.0010914,              0.0010914,              0.0010914
                      3,                  1.596,                 1.9639,                 1.4094,                 0.4308,                0.78805,                0.45744,                0.29664,                 1.1805,                 1.5135,                 1.1657,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.5392,                  1.909,                 1.3698,                0.45104,                0.70592,                0.44709,                 0.2651,                  1.347,                 1.5712,                 1.2473,               0.001601,               0.001601,               0.001601
                      5,                 1.5106,                 1.8386,                 1.3758,                0.44842,                0.78952,                0.47503,                0.32395,                 1.1508,                 1.3766,                 1.1464,               0.001579,               0.001579,               0.001579
                      6,                 1.5448,                 1.8867,                 1.3854,                0.43332,                0.69893,                0.47775,                0.31967,                 1.1776,                 1.3567,                 1.1259,               0.001557,               0.001557,               0.001557
                      7,                  1.506,                 1.8385,                 1.3563,                0.44663,                0.78216,                0.47643,                0.33403,                 1.1113,                 1.2789,                 1.1222,               0.001535,               0.001535,               0.001535
                      8,                 1.4849,                 1.8218,                 1.3398,                0.46073,                0.81876,                0.49373,                 0.3488,                 1.0602,                 1.2362,                 1.0753,               0.001513,               0.001513,               0.001513
                      9,                 1.4302,                 1.7713,                 1.3351,                0.43916,                0.84405,                 0.4867,                0.35569,                  1.023,                 1.2517,                 1.0747,               0.001491,               0.001491,               0.001491
                     10,                 1.4276,                 1.7497,                 1.3116,                0.46183,                0.89622,                0.52246,                0.37059,                 1.0609,                 1.1532,                 1.0985,               0.001469,               0.001469,               0.001469
                     11,                 1.4521,                 1.7426,                 1.3445,                0.43311,                0.82664,                0.46894,                0.33278,                 1.1191,                  1.251,                 1.1023,               0.001447,               0.001447,               0.001447
                     12,                 1.4395,                 1.7489,                 1.3305,                 0.4636,                 0.8705,                0.49015,                0.34717,                 1.0807,                  1.191,                 1.0998,               0.001425,               0.001425,               0.001425
                     13,                 1.3435,                 1.6713,                 1.2879,                0.45829,                0.88834,                0.53874,                 0.3696,                 1.1009,                 1.1738,                 1.1094,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.4046,                 1.7049,                 1.3045,                0.46535,                0.83087,                0.51344,                0.35631,                 1.0801,                 1.1957,                 1.1063,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.4014,                 1.6893,                 1.2928,                 0.4544,                0.82012,                0.50136,                0.35424,                 1.0876,                 1.2088,                 1.0988,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.3559,                 1.6476,                 1.2782,                0.45644,                0.91317,                0.51865,                0.36901,                 1.0401,                 1.1165,                 1.0596,              0.0013369,              0.0013369,              0.0013369
