                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8305,                 4.0471,                  1.594,                0.44605,                0.68079,                0.42243,                0.27792,                 1.2807,                 1.6191,                  1.183,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.7633,                 2.4504,                 1.5289,                 0.3779,                0.57032,                0.40194,                0.24056,                 1.3424,                  1.885,                 1.2697,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.7872,                 2.3616,                 1.5463,                0.40475,                0.74385,                0.43377,                0.28063,                 1.2779,                 1.7279,                 1.2034,              0.0016178,              0.0016178,              0.0016178
                      4,                 1.7431,                 2.3367,                 1.5245,                0.41734,                0.78368,                0.48248,                0.32254,                 1.1891,                 1.4747,                 1.1392,               0.001601,               0.001601,               0.001601
                      5,                 1.6457,                 2.1022,                 1.4645,                0.50665,                0.01706,                0.03874,                0.02435,                 2.6709,                 4.5507,                 2.8992,               0.001579,               0.001579,               0.001579
                      6,                 1.6317,                 2.0993,                 1.4467,                0.41951,                 0.7634,                0.47959,                0.32293,                  1.151,                 1.4146,                 1.1306,               0.001557,               0.001557,               0.001557
                      7,                 1.6482,                 2.0204,                 1.4473,                0.42179,                0.73194,                0.45758,                 0.2973,                 1.3469,                 1.5383,                  1.226,               0.001535,               0.001535,               0.001535
                      8,                  1.571,                  2.047,                 1.4106,                0.45461,                 0.7752,                0.51379,                0.35424,                 1.1309,                 1.3789,                  1.121,               0.001513,               0.001513,               0.001513
                      9,                 1.5704,                 1.9804,                 1.4334,                0.40119,                0.74918,                0.44773,                0.29977,                 1.1853,                 1.7166,                 1.1634,               0.001491,               0.001491,               0.001491
                     10,                 1.5568,                 1.9579,                 1.3716,                0.43556,                0.79352,                0.45656,                0.31306,                 1.1397,                 1.4437,                 1.1326,               0.001469,               0.001469,               0.001469
                     11,                 1.4989,                 1.8239,                 1.3674,                 0.4426,                0.84451,                0.46294,                   0.32,                 1.1386,                 1.2642,                 1.1148,               0.001447,               0.001447,               0.001447
                     12,                 1.4686,                 1.8021,                 1.3602,                0.42138,                 0.7486,                0.46959,                0.32892,                 1.1186,                 1.3422,                 1.1396,               0.001425,               0.001425,               0.001425
                     13,                 1.5037,                  1.885,                   1.38,                0.41457,                0.84486,                0.48731,                0.33461,                 1.1194,                 1.3182,                 1.1181,              0.0014029,              0.0014029,              0.0014029
                     14,                   1.55,                 1.8983,                 1.3851,                0.44492,                  0.762,                0.48991,                0.33724,                 1.1874,                 1.4153,                   1.15,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.4564,                 1.8473,                 1.3503,                0.44579,                0.83631,                0.51526,                0.35537,                 1.1135,                 1.3203,                  1.134,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.4972,                 1.8561,                 1.3707,                0.44305,                0.86173,                0.49962,                0.35847,                 1.0672,                  1.276,                 1.0934,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.4116,                 1.7705,                 1.3146,                0.45798,                0.80144,                0.50145,                0.36001,                 1.0157,                 1.2234,                 1.0695,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.4786,                 1.8333,                 1.3577,                0.47285,                0.82783,                0.49901,                0.34366,                 1.0484,                 1.3012,                 1.1101,              0.0012929,              0.0012929,              0.0012929
                     19,                 1.4257,                 1.7967,                 1.3266,                0.44692,                0.86357,                0.50202,                0.35535,                 1.0443,                 1.2733,                 1.0795,              0.0012709,              0.0012709,              0.0012709
                     20,                 1.4371,                 1.8179,                 1.3353,                0.42849,                 0.8708,                0.51606,                0.37409,                  1.018,                 1.2421,                 1.0882,              0.0012489,              0.0012489,              0.0012489
                     21,                 1.3942,                 1.7184,                 1.3164,                0.47347,                 0.8705,                0.50303,                0.34945,                  1.105,                 1.2106,                 1.0992,              0.0012269,              0.0012269,              0.0012269
                     22,                 1.3905,                 1.8028,                 1.3042,                 0.4557,                0.85355,                0.50552,                0.36547,                 1.0342,                 1.3035,                 1.0963,              0.0012049,              0.0012049,              0.0012049
                     23,                 1.3419,                 1.7819,                 1.3093,                0.43781,                0.89652,                0.50646,                0.36088,                 1.0563,                 1.1905,                  1.108,              0.0011829,              0.0011829,              0.0011829
                     24,                 1.3638,                 1.7112,                 1.3242,                0.46461,                0.80331,                0.49869,                 0.3451,                 1.1427,                 1.2878,                 1.1529,              0.0011609,              0.0011609,              0.0011609
                     25,                 1.3369,                 1.6654,                 1.3035,                0.46564,                0.82215,                0.52757,                 0.3804,                 1.0416,                 1.2196,                 1.0824,              0.0011389,              0.0011389,              0.0011389
                     26,                 1.3266,                 1.7011,                 1.2963,                0.45373,                0.86233,                0.53406,                0.37618,                 1.0205,                 1.2123,                 1.0756,              0.0011169,              0.0011169,              0.0011169
                     27,                 1.3578,                 1.6851,                 1.3278,                0.45693,                0.87311,                0.51589,                0.37053,                 1.0237,                 1.1562,                 1.0635,              0.0010949,              0.0010949,              0.0010949
                     28,                 1.3388,                 1.6989,                 1.2953,                0.47079,                0.84109,                0.54432,                0.38294,                 1.0501,                 1.1531,                 1.0783,              0.0010729,              0.0010729,              0.0010729
                     29,                 1.2927,                  1.631,                 1.2772,                0.44575,                0.89622,                0.56699,                0.38782,                 1.0539,                 1.1651,                 1.0813,              0.0010509,              0.0010509,              0.0010509
                     30,                 1.3076,                 1.6722,                 1.2907,                0.47524,                0.82692,                0.53567,                0.36912,                 1.0855,                  1.245,                 1.1118,              0.0010289,              0.0010289,              0.0010289
                     31,                  1.285,                 1.6367,                  1.254,                0.46937,                0.84478,                0.52309,                0.36965,                0.99171,                 1.1699,                  1.066,              0.0010069,              0.0010069,              0.0010069
                     32,                 1.2951,                 1.6405,                 1.2749,                 0.4491,                0.86143,                0.53464,                0.37635,                 1.0169,                  1.172,                 1.0573,             0.00098486,             0.00098486,             0.00098486
                     33,                 1.2798,                  1.667,                  1.278,                0.46369,                0.87868,                0.51338,                0.35925,                 1.0098,                 1.1836,                 1.0697,             0.00096286,             0.00096286,             0.00096286
                     34,                 1.2804,                 1.7078,                 1.2664,                0.47014,                0.86262,                0.49337,                0.35858,                 1.0101,                 1.2481,                 1.0846,             0.00094085,             0.00094085,             0.00094085
                     35,                 1.2477,                 1.6105,                  1.255,                0.45118,                0.86961,                0.48828,                0.33824,                 1.0235,                 1.1797,                 1.0667,             0.00091885,             0.00091885,             0.00091885
