                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.426,                 3.1292,                 1.2812,                0.45346,                0.62288,                0.43563,                0.27349,                 1.3647,                 1.6843,                  1.285,             0.00055037,             0.00055037,             0.00055037
                      2,                 1.2978,                 1.7928,                 1.2095,                0.42904,                0.71439,                0.45135,                0.28831,                 1.2749,                 1.5535,                 1.2308,              0.0010914,              0.0010914,              0.0010914
                      3,                 1.2949,                 1.5622,                 1.1923,                0.43597,                0.76673,                0.46744,                 0.3187,                 1.1183,                 1.4329,                 1.1449,              0.0016178,              0.0016178,              0.0016178
                      4,                  1.267,                 1.4418,                 1.1757,                0.42596,                0.69833,                0.44207,                0.27649,                  1.385,                 1.4789,                  1.281,               0.001601,               0.001601,               0.001601
                      5,                 1.2767,                 1.4413,                 1.1981,                0.44979,                0.83636,                0.50419,                0.32202,                 1.2417,                 1.2759,                 1.1813,               0.001579,               0.001579,               0.001579
                      6,                 1.2135,                 1.4092,                 1.1655,                0.43771,                0.85355,                0.52333,                 0.3612,                 1.1224,                 1.2412,                 1.1218,               0.001557,               0.001557,               0.001557
                      7,                 1.1905,                 1.3843,                 1.1426,                0.45288,                0.88211,                0.52817,                0.37789,                 1.0836,                 1.2188,                  1.104,               0.001535,               0.001535,               0.001535
                      8,                  1.173,                 1.3455,                 1.1248,                0.45988,                0.80122,                0.49313,                0.36587,                 1.0445,                 1.2414,                 1.0974,               0.001513,               0.001513,               0.001513
                      9,                 1.1401,                 1.2968,                  1.131,                0.46712,                0.85134,                0.52488,                0.37912,                 1.0364,                 1.1592,                  1.079,               0.001491,               0.001491,               0.001491
                     10,                 1.1373,                 1.2731,                 1.1167,                0.46901,                0.86114,                0.52384,                0.38041,                 1.0758,                 1.1797,                 1.1041,               0.001469,               0.001469,               0.001469
                     11,                 1.1138,                 1.2665,                 1.1187,                 0.4685,                0.87921,                0.52715,                0.36019,                 1.1118,                 1.1718,                  1.112,               0.001447,               0.001447,               0.001447
                     12,                 1.0817,                 1.2532,                 1.0945,                0.45994,                0.78051,                0.48068,                0.34282,                 1.0988,                 1.2949,                 1.1095,               0.001425,               0.001425,               0.001425
                     13,                 1.0621,                 1.2527,                  1.097,                0.47418,                0.88643,                0.52832,                0.37846,                 1.0667,                 1.1468,                   1.09,              0.0014029,              0.0014029,              0.0014029
                     14,                 1.1042,                 1.2334,                 1.0943,                0.46656,                0.88715,                0.53425,                0.38764,                 1.0918,                 1.1539,                 1.0983,              0.0013809,              0.0013809,              0.0013809
                     15,                 1.0787,                 1.2361,                 1.0914,                0.45036,                0.91726,                0.50288,                 0.3603,                 1.0951,                 1.1447,                 1.1214,              0.0013589,              0.0013589,              0.0013589
                     16,                 1.0515,                 1.1992,                 1.0781,                0.48155,                 0.9044,                0.54662,                0.41322,                0.96006,                 1.0597,                 1.0435,              0.0013369,              0.0013369,              0.0013369
                     17,                 1.0769,                 1.1731,                 1.0888,                0.46864,                0.87838,                0.54718,                0.39433,                 1.0328,                 1.1136,                 1.0807,              0.0013149,              0.0013149,              0.0013149
                     18,                 1.0606,                 1.2018,                 1.0822,                0.47126,                 0.8708,                0.56458,                0.42929,                 0.9874,                 1.1022,                 1.0627,              0.0012929,              0.0012929,              0.0012929
